"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.641004180E-1	-5.297709465E0	5.185246468E0	5.818148136E0	9.423553164E0
1.651581790E-1	-5.288137913E0	5.161318302E0	5.852844238E0	9.426526130E0
1.662148450E-1	-5.291727066E0	5.138586521E0	5.882754326E0	9.434736098E0
1.672602100E-1	-5.280959606E0	5.123033047E0	5.917450428E0	9.441939500E0
1.682942720E-1	-5.258227825E0	5.106283665E0	5.944967747E0	9.437464397E0
1.693371370E-1	-5.254638672E0	5.093122959E0	6.195017815E0	9.587980745E0
1.703900540E-1	-5.254638672E0	5.087141037E0	6.211767673E0	9.595639068E0
1.714410950E-1	-5.242674351E0	5.058426857E0	6.240481377E0	9.592545253E0
1.724921370E-1	-5.218746185E0	5.017749310E0	6.284748554E0	9.587032089E0
1.735416160E-1	-5.194818020E0	4.998606682E0	6.344569206E0	9.603424464E0
1.745910950E-1	-5.179264545E0	4.975874901E0	6.500102520E0	9.686869723E0
1.756389080E-1	-5.142175674E0	4.954339504E0	6.640082836E0	9.750802565E0
1.766867200E-1	-5.101497650E0	4.936393261E0	6.655636311E0	9.730917295E0
1.777329700E-1	-5.076373100E0	4.912465096E0	6.665207386E0	9.712201947E0
1.787792200E-1	-5.056034088E0	4.892126083E0	6.673582554E0	9.697065660E0
1.798241160E-1	-5.027320385E0	4.853840828E0	6.714260101E0	9.690975686E0
1.808672930E-1	-5.000999451E0	4.823930264E0	6.754938126E0	9.690690779E0
1.819108350E-1	-4.984249592E0	4.797609329E0	6.832705021E0	9.723459116E0
1.829537520E-1	-4.945964336E0	4.749752998E0	7.391428947E0	1.008245697E1
1.839960430E-1	-4.899304390E0	4.704289436E0	7.393822193E0	1.004002636E1
1.850376580E-1	-4.869394302E0	4.651647091E0	7.360322475E0	9.976129935E0
1.860785950E-1	-4.846662045E0	4.612165451E0	7.305287361E0	9.906029808E0
