"Time (s)"	"Velocity (m/s)"	"Gyroscope y (rad/s)"
6.456763750E0	3.208650208E-1	8.021625519E0
6.496458750E0	3.515303802E-1	8.788259506E0
6.536152750E0	5.810370255E-1	1.452592564E1
6.575847750E0	6.951528931E-1	1.737882233E1
6.615541750E0	7.070505524E-1	1.767626381E1
6.655235750E0	7.181056976E-1	1.795264244E1
6.694930750E0	7.297793579E-1	1.824448395E1
6.734624750E0	7.806018066E-1	1.951504517E1
6.774318750E0	8.888089752E-1	2.222022438E1
6.814013750E0	9.119537354E-1	2.279884338E1
6.853707750E0	8.448828125E-1	2.112207031E1
6.893401750E0	7.864905548E-1	1.966226387E1
6.933096750E0	7.172646332E-1	1.793161583E1
6.972790000E0	7.024739838E-1	1.756184959E1
7.012485000E0	7.134146881E-1	1.783536720E1
7.052179000E0	7.604974365E-1	1.901243591E1
7.091873000E0	8.712784576E-1	2.178196144E1
7.131568000E0	8.463917542E-1	2.115979385E1
7.171262000E0	4.219284439E-1	1.054821110E1
7.210956000E0	6.209337234E-1	1.552334309E1
7.250651000E0	7.401494598E-1	1.850373650E1
7.290345000E0	7.495764160E-1	1.873941040E1
7.330040000E0	7.382425690E-1	1.845606422E1
7.369734000E0	7.612259674E-1	1.903064919E1
7.409428000E0	8.196950531E-1	2.049237633E1
7.449123000E0	9.315369415E-1	2.328842354E1
7.488817000E0	9.001205444E-1	2.250301361E1
7.528511000E0	8.301439667E-1	2.075359917E1
7.568206000E0	7.468667603E-1	1.867166901E1
7.607900000E0	7.237543488E-1	1.809385872E1
7.647595000E0	7.099596405E-1	1.774899101E1
7.687289000E0	7.328002930E-1	1.832000732E1
7.726983000E0	8.069245911E-1	2.017311478E1
7.766678000E0	9.003163147E-1	2.250790787E1
7.806372000E0	7.819393158E-1	1.954848289E1
7.846067000E0	5.689332962E-1	1.422333241E1
7.885761000E0	6.079231262E-1	1.519807816E1
7.925455000E0	6.794327545E-1	1.698581886E1
7.965150458E0	6.807441711E-1	1.701860428E1
8.004844458E0	6.809381104E-1	1.702345276E1
8.044538458E0	7.070921326E-1	1.767730331E1
8.084233458E0	7.820846558E-1	1.955211639E1
8.123927458E0	8.633127594E-1	2.158281898E1
8.163622458E0	8.282063293E-1	2.070515823E1
8.203316458E0	7.656729889E-1	1.914182472E1
8.243010458E0	5.612988663E-1	1.403247166E1
8.282705458E0	4.398030472E-1	1.099507618E1
8.322399458E0	3.538385773E-1	8.845964432E0
8.362094458E0	2.872570419E-1	7.181426048E0
8.401788458E0	1.585585880E-1	3.963964701E0
8.441482458E0	2.032854843E-1	5.082137108E0
8.481177458E0	1.109324551E-1	2.773311377E0
8.520871458E0	1.028620434E-1	2.571551085E0
8.560565458E0	4.299535751E-2	1.074883938E0
8.600260458E0	4.323399663E-3	1.080849916E-1
8.639954458E0	-3.939359903E-2	-9.848399758E-1
8.679649458E0	-7.122026920E-2	-1.780506730E0
8.719343458E0	-9.060486794E-2	-2.265121698E0
8.759037458E0	-8.754204750E-2	-2.188551188E0
8.798732458E0	-6.938071728E-2	-1.734517932E0
8.838426458E0	-5.582884312E-2	-1.395721078E0
8.878121458E0	-9.506000519E-2	-2.376500130E0
